Project;Version;DUAcov
Cli;10b; 77.44
Cli;11b; 84.39
Cli;12b; 85.31
Cli;13b; 90.5
Cli;14b; 90.85
Cli;15b; 90.81
Cli;16b; 90.49
Cli;17b; 87.14
Cli;18b; 87.53
Cli;19b; 87.65
Cli;1b; 76.7
Cli;20b; 87.62
Cli;21b; 90.61
Cli;22b; 88.84
Cli;23b; 89.7
Cli;24b; 89.76
Cli;25b; 89.8
Cli;26b; 90.42
Cli;27b; 90.52
Cli;28b; 90.47
Cli;29b; 90.85
Cli;2b; 76.81
Cli;30b; 91.02
Cli;31b; 91.05
Cli;32b; 91.13
Cli;33b; 91.63
Cli;34b; 91.62
Cli;35b; 92.12
Cli;36b; 92.16
Cli;37b; 92.49
Cli;38b; 92.44
Cli;39b; 93.5
Cli;3b; 76.1
Cli;40b;
Cli;4b; 76.93
Cli;5b; 77.04
Cli;6b;
Cli;7b; 90.76
Cli;8b; 77.79
Cli;9b; 77.53
