Project;Version;DUAcov
Time;10b; 79.76
Time;11b; 79.83
Time;12b; 79.95
Time;13b; 79.94
Time;14b; 79.9
Time;15b; 79.89
Time;16b; 79.88
Time;17b; 79.79
Time;18b; 79.84
Time;19b; 79.85
Time;1b; 79.14
Time;20b; 79.92
Time;21b;
Time;22b; 80.21
Time;23b; 80.19
Time;24b; 80.13
Time;25b; 80.08
Time;26b; 80.13
Time;27b; 80.01
Time;2b; 79.12
Time;3b; 79.17
Time;4b; 79.13
Time;5b; 79.37
Time;6b; 79.25
Time;7b; 79.61
Time;8b; 79.79
Time;9b; 79.76
