Project;Version;DUAcov
JxPath;10b; 56.77
JxPath;11b; 56.66
JxPath;12b; 56.85
JxPath;13b; 56.93
JxPath;14b; 56.74
JxPath;15b; 56.77
JxPath;16b; 57.02
JxPath;17b; 56.77
JxPath;18b; 56.72
JxPath;19b; 66.23
JxPath;1b; 56.4
JxPath;20b; 66.4
JxPath;21b; 66.46
JxPath;22b; 66.69
JxPath;2b; 56.39
JxPath;3b; 56.58
JxPath;4b; 56.69
JxPath;5b; 56.58
JxPath;6b; 56.67
JxPath;7b; 56.75
JxPath;8b; 56.8
JxPath;9b; 56.85
