Program;Version;UncFdpMax;NoUncFdpMax;Status;SubFdpMax;NoSubFdpMax;LessFdpUnc;MoreFdpUnc
Csv;10b;0.200000;7;clear;0.000000;0;False;True;
Csv;11b;0.500000;4;clear;0.500000;4;False;False;
Csv;12b;0.500000;2;clear;0.000000;0;False;True;
Csv;13b;0.500000;3;clear;0.500000;1;False;False;
Csv;14b;0.500000;1;clear;0.000000;0;False;True;
Csv;15b;0.200000;1;clear;0.000000;0;False;True;
Csv;16b;0.500000;1;clear;0.500000;2;False;False;
Csv;1b;0.500000;3;clear;0.000000;0;False;True;
Csv;2b;0.022222;1;clear;0.022222;7;False;False;
Csv;3b;1.000000;4;clear;1.000000;3;False;False;
Csv;4b;0.027027;4;clear;0.000000;0;False;True;
Csv;5b;0.250000;7;clear;0.000000;0;False;True;
Csv;6b;0.333333;2;clear;0.000000;0;False;True;
Csv;7b;0.166667;2;clear;0.166667;6;False;False;
Csv;8b;1.000000;5;clear;0.000000;0;False;True;
Csv;9b;0.125000;2;clear;0.125000;2;False;False;
