Program;Version;UncFdpMax;NoUncFdpMax;Status;SubFdpMax;NoSubFdpMax;LessFdpUnc;MoreFdpUnc;FdpMaxDF
Closure;12b;1.000000;2;clear;0.000000;0;False;True;1.000000
Closure;130b;0.250000;1;clear;0.000000;0;False;True;0.250000
Closure;131b;1.000000;3;clear;1.000000;1;False;False;1.000000
Closure;132b;1.000000;1;clear;0.000000;0;False;True;1.000000
Closure;133b;1.000000;4;clear;0.000000;0;False;True;1.000000
Closure;134b;1.000000;1;clear;0.000000;0;False;True;1.000000
Closure;135b;1.000000;3;clear;1.000000;12;False;False;1.000000
Closure;136b;1.000000;6;clear;1.000000;1;False;False;1.000000
Closure;138b;1.000000;1;clear;0.000000;0;False;True;1.000000
Closure;139b;1.000000;2;clear;0.000000;0;False;True;1.000000
Closure;13b;1.000000;4;clear;0.000000;0;False;True;1.000000
Closure;140b;1.000000;5;clear;1.000000;5;False;False;1.000000
Closure;141b;1.000000;7;clear;0.000000;0;False;True;1.000000
Closure;142b;1.000000;2;clear;1.000000;1;False;False;1.000000
Closure;144b;1.000000;58;clear;1.000000;43;False;False;1.000000
Closure;145b;0.500000;1;clear;0.000000;0;False;True;0.500000
Closure;146b;1.000000;2;clear;0.000000;0;False;True;1.000000
Closure;147b;1.000000;12;clear;0.000000;0;False;True;1.000000
Closure;148b;1.000000;18;clear;1.000000;12;False;False;1.000000
Closure;149b;0.043478;1;clear;0.000000;0;False;True;0.043478
Closure;14b;1.000000;2;clear;1.000000;4;False;False;1.000000
Closure;150b;0.083333;2;clear;0.000000;0;False;True;0.083333
Closure;151b;1.000000;2;clear;0.000000;0;False;True;1.000000
Closure;152b;1.000000;8;clear;0.000000;0;False;True;1.000000
Closure;153b;0.666667;6;clear;0.000000;0;False;True;0.666667
Closure;154b;0.037037;1;clear;0.000000;0;False;True;0.037037
Closure;155b;1.000000;2;clear;0.000000;0;False;True;1.000000
Closure;156b;1.000000;2;clear;0.000000;0;False;True;1.000000
Closure;157b;1.000000;8;clear;0.000000;0;False;True;1.000000
Closure;158b;0.400000;2;clear;0.000000;0;False;True;0.400000
Closure;159b;1.000000;3;clear;0.000000;0;False;True;1.000000
Closure;15b;1.000000;3;clear;1.000000;1;False;False;1.000000
Closure;160b;1.000000;3;clear;0.000000;0;False;True;1.000000
Closure;161b;1.000000;2;clear;0.000000;0;False;True;1.000000
Closure;162b;0.500000;3;clear;0.000000;0;False;True;0.500000
Closure;163b;1.000000;1;clear;0.000000;0;False;True;1.000000
Closure;164b;1.000000;6;clear;1.000000;2;False;False;1.000000
Closure;165b;0.333333;7;clear;0.333333;10;False;False;0.333333
Closure;166b;0.062500;3;clear;0.000000;0;False;True;0.062500
Closure;167b;0.250000;1;clear;0.000000;0;False;True;0.250000
Closure;168b;0.071429;1;clear;0.000000;0;False;True;0.071429
Closure;169b;1.000000;2;clear;0.000000;0;False;True;1.000000
Closure;16b;0.500000;1;clear;0.000000;0;False;True;0.500000
Closure;170b;1.000000;1;clear;0.000000;0;False;True;1.000000
Closure;171b;0.333333;1;clear;0.333333;3;False;False;0.333333
Closure;172b;0.200000;1;clear;0.000000;0;False;True;0.200000
Closure;173b;1.000000;2;clear;0.000000;0;False;True;1.000000
Closure;174b;1.000000;2;clear;0.000000;0;False;True;1.000000
Closure;175b;0.300000;8;clear;0.000000;0;False;True;0.300000
Closure;176b;0.010526;2;clear;0.000000;0;False;True;0.010526
Closure;17b;0.142857;3;clear;0.000000;0;False;True;0.142857
Closure;18b;0.333333;6;clear;0.000000;0;False;True;0.333333
Closure;19b;1.000000;3;clear;0.000000;0;False;True;1.000000
Closure;1b;1.000000;5;clear;0.000000;0;False;True;1.000000
Closure;20b;1.000000;6;clear;1.000000;4;False;False;1.000000
Closure;21b;1.000000;4;clear;0.000000;0;False;True;1.000000
Closure;22b;1.000000;4;clear;0.000000;0;False;True;1.000000
Closure;23b;1.000000;4;clear;1.000000;14;False;False;1.000000
Closure;24b;1.000000;1;clear;1.000000;5;False;False;1.000000
Closure;25b;0.050000;1;clear;0.000000;0;False;True;0.050000
Closure;26b;1.000000;27;clear;1.000000;15;False;False;1.000000
Closure;27b;1.000000;2;clear;0.000000;0;False;True;1.000000
Closure;28b;1.000000;1;clear;0.000000;0;False;True;1.000000
Closure;29b;1.000000;8;clear;0.000000;0;False;True;1.000000
Closure;2b;0.200000;4;clear;0.000000;0;False;True;0.200000
Closure;30b;1.000000;3;clear;0.000000;0;False;True;1.000000
Closure;31b;1.000000;3;notclear;0.000000;0;False;True;1.000000
Closure;32b;0.600000;1;clear;0.000000;0;False;True;0.600000
Closure;33b;0.200000;5;clear;0.200000;3;False;False;0.200000
