Program;Version;UncFdpMax;NoUncFdpMax;Status;SubFdpMax;NoSubFdpMax;LessFdpUnc;MoreFdpUnc
Math;100b;1.000000;1;clear;0.000000;0;False;True;
Math;101b;1.000000;2;clear;0.000000;0;False;True;
Math;102b;1.000000;8;clear;1.000000;26;False;False;
Math;103b;1.000000;2;clear;1.000000;3;False;False;
Math;104b;0.050000;2;clear;0.000000;0;False;True;
Math;105b;0.111111;29;clear;0.111111;8;False;False;
Math;106b;0.500000;1;clear;0.000000;0;False;True;
Math;10b;0.333333;3;clear;0.333333;24;False;False;
Math;11b;0.333333;6;clear;0.333333;22;False;False;
Math;12b;0.500000;14;clear;0.500000;13;False;False;
Math;13b;0.035714;2;clear;0.000000;0;False;True;
Math;14b;0.037037;2;clear;0.000000;0;False;True;
Math;15b;0.500000;1;clear;0.500000;2;False;False;
Math;16b;0.090909;4;clear;0.000000;0;False;True;
Math;17b;1.000000;57;clear;1.000000;30;False;False;
Math;18b;1.000000;2;clear;1.000000;3;False;False;
Math;19b;0.500000;11;clear;0.000000;0;False;True;
Math;1b;0.500000;12;clear;0.500000;14;False;False;
Math;20b;1.000000;24;clear;1.000000;14;False;False;
Math;21b;1.000000;5;clear;1.000000;18;False;False;
Math;22b;0.250000;6;clear;0.250000;3;False;False;
Math;23b;1.000000;2;clear;0.000000;0;False;True;
Math;24b;0.500000;1;clear;0.500000;14;False;False;
Math;25b;0.250000;8;clear;0.250000;2;False;False;
Math;26b;1.000000;6;clear;1.000000;3;False;False;
Math;27b;0.006711;1;clear;0.000000;0;False;True;
Math;28b;1.000000;5;clear;0.000000;0;False;True;
Math;29b;0.666667;5;clear;0.666667;2;False;False;
Math;2b;0.142857;5;clear;0.142857;1;False;False;
Math;30b;0.500000;6;clear;0.500000;12;False;False;
Math;31b;1.000000;3;clear;0.000000;0;False;True;
Math;32b;1.000000;4;clear;0.000000;0;False;True;
Math;33b;0.500000;5;clear;0.000000;0;False;True;
Math;34b;0.500000;7;clear;0.000000;0;False;True;
Math;35b;0.285714;5;clear;0.285714;2;False;False;
Math;36b;0.045455;3;clear;0.045455;9;False;False;
Math;37b;1.000000;3;clear;1.000000;1;False;False;
Math;38b;1.000000;9;clear;1.000000;45;False;False;
Math;39b;0.250000;1;clear;0.000000;0;False;True;
Math;3b;0.000000;0;notclear;0.000000;0;False;False;
Math;40b;0.250000;5;clear;0.000000;0;False;True;
Math;41b;0.333333;25;clear;0.333333;42;False;False;
Math;42b;0.250000;1;clear;0.000000;0;False;True;
Math;43b;0.600000;2;clear;0.000000;0;False;True;
Math;44b;0.500000;1;clear;0.000000;0;False;True;
Math;45b;0.015873;3;clear;0.000000;0;False;True;
Math;46b;0.666667;2;clear;0.000000;0;False;True;
Math;47b;0.500000;3;clear;0.000000;0;False;True;
Math;48b;0.083333;5;clear;0.000000;0;False;True;
Math;49b;1.000000;3;clear;0.000000;0;False;True;
Math;4b;0.500000;2;clear;0.000000;0;False;True;
Math;50b;1.000000;2;clear;1.000000;10;False;False;
Math;51b;0.083333;5;clear;0.000000;0;False;True;
Math;52b;0.500000;5;clear;0.500000;27;False;False;
Math;53b;0.010204;1;clear;0.000000;0;False;True;
Math;54b;1.000000;4;clear;0.000000;0;False;True;
Math;55b;0.000000;0;notclear;0.000000;0;False;False;
Math;56b;1.000000;14;clear;1.000000;55;False;False;
Math;57b;1.000000;2;clear;0.000000;0;False;True;
Math;58b;1.000000;5;clear;1.000000;3;False;False;
Math;59b;1.000000;8;clear;1.000000;7;False;False;
Math;5b;1.000000;3;clear;0.000000;0;False;True;
Math;60b;1.000000;9;clear;1.000000;11;False;False;
Math;61b;1.000000;3;clear;0.000000;0;False;True;
Math;62b;0.500000;13;clear;0.500000;40;False;False;
Math;63b;1.000000;15;clear;1.000000;13;False;False;
Math;64b;0.250000;1;clear;0.000000;0;False;True;
Math;65b;1.000000;8;clear;1.000000;34;False;False;
Math;66b;1.000000;60;clear;1.000000;123;False;False;
Math;67b;1.000000;19;clear;1.000000;39;False;False;
Math;68b;0.250000;4;clear;0.000000;0;False;True;
Math;69b;0.666667;3;clear;0.000000;0;False;True;
Math;6b;1.000000;84;clear;1.000000;96;False;False;
Math;70b;0.006452;2;clear;0.000000;0;False;True;
Math;71b;1.000000;12;clear;1.000000;9;False;False;
Math;72b;1.000000;14;clear;0.000000;0;False;True;
Math;73b;1.000000;10;clear;0.000000;0;False;True;
Math;74b;1.000000;1;clear;1.000000;7;False;False;
Math;75b;0.333333;3;clear;0.000000;0;False;True;
Math;76b;0.666667;2;clear;0.666667;6;False;False;
Math;77b;1.000000;13;clear;1.000000;36;False;False;
Math;78b;0.333333;7;clear;0.000000;0;False;True;
Math;79b;1.000000;2;clear;0.000000;0;False;True;
