Program;Version;UncFdpMax;NoUncFdpMax;Status;SubFdpMax;NoSubFdpMax;LessFdpUnc;MoreFdpUnc;
Chart;10b;0.000000;0;notclear;0.000000;0;False;False;
Chart;11b;0.062500;5;clear;0.062500;20;False;False;
Chart;12b;0.250000;4;clear;0.000000;0;False;True;
Chart;13b;1.000000;130;clear;1.000000;26;False;False;
Chart;14b;0.133333;4;clear;0.000000;0;False;True;
Chart;15b;1.000000;5;clear;0.000000;0;False;True;
Chart;16b;0.571429;4;clear;0.000000;0;False;True;
Chart;17b;0.500000;2;clear;0.000000;0;False;True;
Chart;18b;1.000000;14;clear;1.000000;4;False;False;
Chart;19b;1.000000;2;clear;1.000000;3;False;False;
Chart;1b;1.000000;3;clear;0.000000;0;False;True;
Chart;20b;0.007874;22;clear;0.007874;3;False;False;
Chart;21b;1.000000;5;clear;1.000000;8;False;False;
Chart;22b;1.000000;2;clear;1.000000;12;False;False;
Chart;23b;1.000000;7;clear;0.000000;0;False;True;
Chart;24b;0.100000;6;clear;0.000000;0;False;True;
Chart;25b;1.000000;33;clear;1.000000;53;False;False;
Chart;26b;1.000000;73;clear;1.000000;115;False;False;
Chart;2b;1.000000;5;clear;0.000000;0;False;True;
Chart;3b;0.333333;3;clear;0.333333;17;False;False;
Chart;4b;1.000000;3;clear;1.000000;2;False;False;
Chart;5b;0.500000;7;clear;0.000000;0;False;True;
Chart;7b;0.200000;10;clear;0.200000;4;False;False;
Chart;8b;0.000000;0;notclear;0.000000;0;False;False;
Chart;9b;0.500000;2;clear;0.000000;0;False;True;
Cli;10b;1.000000;1;clear;0.000000;0;False;True;
Cli;11b;1.000000;3;clear;1.000000;1;False;False;
Cli;12b;0.500000;6;clear;0.000000;0;False;True;
Cli;13b;1.000000;1;clear;1.000000;2;False;False;
Cli;14b;1.000000;1;clear;1.000000;2;False;False;
Cli;15b;1.000000;1;clear;1.000000;2;False;False;
Cli;16b;1.000000;1;clear;1.000000;2;False;False;
Cli;17b;1.000000;1;clear;1.000000;3;False;False;
Cli;18b;1.000000;2;clear;1.000000;3;False;False;
Cli;19b;1.000000;1;clear;0.000000;0;False;True;
Cli;1b;0.062500;2;clear;0.062500;6;False;False;
Cli;20b;0.500000;7;clear;0.000000;0;False;True;
Cli;21b;1.000000;1;clear;1.000000;2;False;False;
Cli;22b;0.400000;3;clear;0.000000;0;False;True;
Cli;23b;1.000000;3;clear;0.000000;0;False;True;
Cli;24b;1.000000;2;clear;0.000000;0;False;True;
Cli;25b;1.000000;2;clear;1.000000;4;False;False;
Cli;26b;0.500000;3;clear;0.000000;0;False;True;
Cli;27b;0.200000;1;clear;0.000000;0;False;True;
Cli;28b;1.000000;3;clear;1.000000;3;False;False;
Cli;29b;1.000000;2;clear;0.000000;0;False;True;
Cli;2b;0.500000;4;clear;0.500000;1;False;False;
Cli;30b;0.714286;5;clear;0.714286;2;False;False;
Cli;31b;0.333333;1;clear;0.333333;4;False;False;
Cli;32b;1.000000;4;clear;1.000000;18;False;False;
Cli;33b;0.200000;6;clear;0.000000;0;False;True;
Cli;34b;1.000000;2;clear;0.000000;0;False;True;
Cli;35b;0.200000;2;clear;0.000000;0;False;True;
Cli;36b;0.125000;4;clear;0.000000;0;False;True;
Cli;37b;0.500000;6;clear;0.000000;0;False;True;
Cli;38b;0.333333;6;clear;0.000000;0;False;True;
Cli;39b;1.000000;7;clear;0.000000;0;False;True;
Cli;3b;1.000000;44;clear;1.000000;57;False;False;
Cli;40b;1.000000;2;clear;0.000000;0;False;True;
Cli;4b;0.500000;3;clear;0.500000;6;False;False;
Cli;5b;0.250000;2;clear;0.000000;0;False;True;
Cli;7b;1.000000;19;clear;1.000000;56;False;False;
Cli;8b;0.333333;1;clear;0.000000;0;False;True;
Cli;9b;1.000000;1;clear;0.000000;0;False;True;
Closure;100b;0.454545;5;clear;0.000000;0;False;True;
Closure;101b;1.000000;4;clear;0.000000;0;False;True;
Closure;102b;1.000000;5;clear;0.000000;0;False;True;
Closure;103b;0.500000;5;clear;0.000000;0;False;True;
Closure;104b;1.000000;13;clear;1.000000;10;False;False;
Closure;105b;1.000000;23;clear;1.000000;25;False;False;
Closure;106b;1.000000;35;clear;1.000000;28;False;False;
Closure;107b;0.500000;3;clear;0.000000;0;False;True;
Closure;108b;0.200000;3;clear;0.000000;0;False;True;
Closure;109b;0.005780;2;clear;0.000000;0;False;True;
Closure;10b;1.000000;5;clear;0.000000;0;False;True;
Closure;110b;0.666667;6;clear;0.000000;0;False;True;
Closure;111b;0.125000;1;clear;0.125000;4;False;False;
Closure;112b;0.250000;2;clear;0.250000;1;False;False;
Closure;113b;0.250000;1;clear;0.000000;0;False;True;
Closure;114b;0.125000;8;clear;0.000000;0;False;True;
Closure;115b;1.000000;1;clear;0.000000;0;False;True;
Closure;116b;0.500000;1;clear;0.500000;10;False;False;
Closure;117b;0.166667;1;clear;0.000000;0;False;True;
Closure;118b;0.142857;1;clear;0.142857;13;False;False;
Closure;119b;1.000000;3;clear;1.000000;2;False;False;
