Version;TopDUAsStatus;DUAMaxFdp;NodeMaxFdp;EdgeMaxFdp;topDUANodeSubsumption;topDUAEdgeSubsumption;
Closure-53b;clear;0.25;0.0;0.0;False;False;
Closure-54b;clear;0.1667;0.0;0.0;False;True;
Closure-55b;clear;1.0;0.0;0.0;True;True;
Closure-56b;notclear;1.0;0.0;0.0;True;True;
Closure-57b;clear;0.0833;0.0;0.0;True;True;
Closure-58b;clear;0.0714;0.0;0.0;True;True;
Closure-59b;clear;0.25;0.0;0.0;True;True;
Closure-60b;clear;0.5;0.0;0.0;True;True;
Closure-61b;clear;0.75;0.0;0.0;True;True;
Closure-62b;clear;1.0;0.0;0.0;False;True;
Closure-64b;clear;0.3333;0.0;0.0;True;True;
Closure-65b;clear;1.0;0.0;0.0;True;True;
Closure-66b;clear;0.5;0.0;0.0;False;True;
Closure-67b;clear;1.0;0.0;0.0;True;True;
Closure-68b;clear;0.5;0.0;0.0;True;True;
Closure-69b;clear;0.1111;0.0;0.0;True;True;
Closure-70b;clear;0.3333;0.0;0.0;False;False;
Closure-71b;clear;0.5;0.0;0.0;True;True;
Closure-72b;clear;0.5;0.0;0.0;True;True;
Closure-73b;clear;0.5;0.0;0.0;False;True;
Closure-74b;clear;1.0;0.0;0.0;True;True;
Closure-75b;clear;1.0;0.0;0.0;True;True;
Closure-76b;clear;1.0;0.0;0.0;True;True;
Closure-77b;clear;1.0;0.0;0.0;False;True;
Closure-78b;clear;1.0;0.0;0.0;True;True;
Closure-79b;clear;0.8;0.0;0.0;False;True;
Closure-80b;clear;1.0;0.0;0.0;True;True;
Closure-81b;clear;0.007;0.0;0.0;True;True;
Closure-82b;clear;0.1429;0.0;0.0;True;True;
Closure-83b;clear;1.0;0.0;0.0;False;True;
Closure-84b;clear;1.0;0.0;0.0;True;True;
Closure-85b;clear;1.0;0.0;0.0;True;True;
Closure-86b;clear;1.0;0.0;0.0;True;True;
Closure-87b;clear;0.5;0.0;0.0;True;True;
Closure-88b;clear;1.0;0.0;0.0;True;True;
Closure-89b;clear;1.0;0.0;0.0;True;True;
Closure-90b;clear;0.5;0.0;0.0;True;True;
Closure-91b;clear;0.2;0.0;0.0;False;True;
Closure-92b;clear;1.0;0.0;0.0;True;True;
Closure-94b;clear;0.5;0.0;0.0;False;True;
Closure-95b;clear;0.2857;0.0;0.0;False;True;
Closure-96b;clear;0.0476;0.0;0.0;True;True;
Closure-97b;clear;1.0;0.0;0.0;True;True;
Closure-98b;clear;0.5;0.0;0.0;True;True;
